t,y_1,y_2,y_3,y_4
0.74,0.0580350266003557,0.022755508511434,0.493925377639675,0.388261724545937
0.75,0.0580333592549768,0.0227508343292408,0.493795168425974,0.388394131122726
0.76,0.0580317986653056,0.0227464532898661,0.493673118557766,0.388518237017316
0.77,0.058030331794259,0.0227423301244758,0.493558246826768,0.388635041149491
0.78,0.0580289456047539,0.0227384295642359,0.493449572024699,0.388745542439031
0.79,0.0580277466144877,0.0227350533620585,0.493355504998663,0.388841185261378
0.8,0.0580266771643171,0.0227320404607091,0.493271559094102,0.388926534629196
0.81,0.0580256918815783,0.0227292644382114,0.493194212864985,0.389005173647858
0.82,0.0580247808787059,0.022726698904138,0.493122732524709,0.389077849534903
0.83,0.0580239342681344,0.0227243174680615,0.493056384286668,0.389145309507871
0.84,0.0580231421622984,0.0227220937395545,0.49299443436426,0.3892083007843
0.85,0.0580223946736326,0.0227200013281895,0.492936148970881,0.38926757058173
0.86,0.0580216819145714,0.0227180138435391,0.492880794319926,0.389323866117701
0.87,0.0580209939975495,0.0227161048951759,0.492827636624792,0.389377934609751
0.88,0.0580203210350016,0.0227142480926724,0.492775942098875,0.38943052327542
0.89,0.0580196531393621,0.0227124170456013,0.492724976955572,0.389482379332248
0.9,0.0580189804230657,0.0227105853635351,0.492674007408278,0.389534249997773
0.91,0.0580185238092563,0.0227093137657151,0.492638593197703,0.389570270781458
0.92,0.0580181066877639,0.0227081517719761,0.492606231155651,0.389603188115468
0.93,0.058017717761319,0.0227070694060481,0.492576087980857,0.389633850675332
0.94,0.0580173517013573,0.0227060518741652,0.492547751718442,0.38966267756212
0.95,0.0580170031793146,0.0227050843825612,0.492520810413524,0.389690087876901
0.96,0.0580166668666263,0.0227041521374697,0.492494852111226,0.389716500720746
0.97,0.0580163374347283,0.0227032403451248,0.492469464856667,0.389742335194725
0.98,0.0580160095550562,0.0227023342117602,0.492444236694968,0.389768010399908
0.99,0.0580156778990457,0.0227014189436098,0.492418755671248,0.389793945437365
1,0.0580153371381323,0.0227004797469074,0.492392609830628,0.389820559408168
1.01,0.0580149819437519,0.0226995018278868,0.492365387218229,0.389848271413385
1.02,0.0580146372484776,0.0226985536395049,0.492338993091019,0.389875140813313
1.03,0.0580144164459556,0.0226979469862592,0.492322106511015,0.389892328840227
1.04,0.0580142077329458,0.0226973741684135,0.492306162347345,0.389908557410434
1.05,0.0580140090579465,0.0226968294072204,0.492290999582432,0.389923990082125
1.06,0.0580138183694559,0.0226963069239325,0.492276457198701,0.389938790413489
1.07,0.0580136336159722,0.0226958009398023,0.492262374178575,0.389953121962718
1.08,0.0580134527459939,0.0226953056760825,0.492248589504481,0.389967148288002
1.09,0.058013273708019,0.0226948153540257,0.492234942158842,0.389981032947531
1.1,0.0580130944505459,0.0226943241948843,0.492221271124082,0.389994939499496
1.11,0.0580129129220729,0.0226938264199111,0.492207415382627,0.390009031502088
1.12,0.0580127270710982,0.0226933162503586,0.492193213916901,0.390023472513496
1.13,0.0580125348461201,0.0226927879074793,0.492178505709327,0.390038426091912
1.14,0.0580123647363072,0.0226923201380735,0.492165483651371,0.390051665683343
1.15,0.0580122398086645,0.0226919766823499,0.492155922723556,0.39006138907221
1.16,0.0580121221310679,0.0226916524569549,0.492146896424772,0.390070567833401
1.17,0.0580120111509725,0.0226913458317122,0.492138359268891,0.390079248216787
1.18,0.0580119063158331,0.0226910551764453,0.492130265769779,0.390087476472238
1.19,0.0580118070731049,0.0226907788609776,0.492122570441308,0.390095298849626
1.2,0.0580117128702429,0.0226905152551328,0.492115227797347,0.390102761598822
1.21,0.0580116231547019,0.0226902627287343,0.492108192351764,0.390109910969695
